DPM1	KEGG_00510_N-Glycan_biosynthesis
FGR	KEGG_04062_Chemokine_signaling_pathway
CFH	KEGG_04610_Complement_and_coagulation_cascades
FUCA2	KEGG_00511_Other_glycan_degradation
GCLC	KEGG_00480_Glutathione_metabolism
NFYA	KEGG_04612_Antigen_processing_and_presentation
SEMA3F	KEGG_04360_Axon_guidance
CFTR	KEGG_02010_ABC_transporters
CFTR	KEGG_05110_Vibrio_cholerae_infection
CYP51A1	KEGG_00100_Steroid_biosynthesis
BAD	KEGG_04012_ErbB_signaling_pathway
BAD	KEGG_04210_Apoptosis
BAD	KEGG_04370_VEGF_signaling_pathway
BAD	KEGG_04510_Focal_adhesion
BAD	KEGG_04722_Neurotrophin_signaling_pathway
BAD	KEGG_04910_Insulin_signaling_pathway
BAD	KEGG_05010_Alzheimer's_disease
BAD	KEGG_05014_Amyotrophic_lateral_sclerosis_(ALS)
BAD	KEGG_05200_Pathways_in_cancer
BAD	KEGG_05210_Colorectal_cancer
BAD	KEGG_05212_Pancreatic_cancer
BAD	KEGG_05213_Endometrial_cancer
BAD	KEGG_05215_Prostate_cancer
BAD	KEGG_05218_Melanoma
BAD	KEGG_05220_Chronic_myeloid_leukemia
BAD	KEGG_05221_Acute_myeloid_leukemia
BAD	KEGG_05223_Non-small_cell_lung_cancer
LAP3	KEGG_00330_Arginine_and_proline_metabolism
LAP3	KEGG_00480_Glutathione_metabolism
CD99	KEGG_04514_Cell_adhesion_molecules_(CAMs)
CD99	KEGG_04670_Leukocyte_transendothelial_migration
HS3ST1	KEGG_00534_Glycosaminoglycan_biosynthesis_-_heparan_sulfate
ABP1	KEGG_00260_Glycine__serine_and_threonine_metabolism
ABP1	KEGG_00330_Arginine_and_proline_metabolism
ABP1	KEGG_00340_Histidine_metabolism
ABP1	KEGG_00350_Tyrosine_metabolism
ABP1	KEGG_00360_Phenylalanine_metabolism
ABP1	KEGG_00380_Tryptophan_metabolism
ABP1	KEGG_00410_beta-Alanine_metabolism
ABP1	KEGG_00960_Tropane__piperidine_and_pyridine_alkaloid_biosynthesis
WNT16	KEGG_04310_Wnt_signaling_pathway
WNT16	KEGG_04340_Hedgehog_signaling_pathway
WNT16	KEGG_04916_Melanogenesis
WNT16	KEGG_05200_Pathways_in_cancer
WNT16	KEGG_05217_Basal_cell_carcinoma
MAD1L1	KEGG_04110_Cell_cycle
MAD1L1	KEGG_04914_Progesterone-mediated_oocyte_maturation
KLHL13	KEGG_04120_Ubiquitin_mediated_proteolysis
CYP26B1	KEGG_00830_Retinol_metabolism
CASP10	KEGG_04210_Apoptosis
CFLAR	KEGG_04210_Apoptosis
CFLAR	KEGG_05142_Chagas_disease
TFPI	KEGG_04610_Complement_and_coagulation_cascades
MTMR7	KEGG_00051_Fructose_and_mannose_metabolism
MTMR7	KEGG_00730_Thiamine_metabolism
AK2	KEGG_00230_Purine_metabolism
CD38	KEGG_00760_Nicotinate_and_nicotinamide_metabolism
CD38	KEGG_04020_Calcium_signaling_pathway
CAMKK1	KEGG_04920_Adipocytokine_signaling_pathway
NDUFAB1	KEGG_00190_Oxidative_phosphorylation
ABCB5	KEGG_02010_ABC_transporters
CDC27	KEGG_04110_Cell_cycle
CDC27	KEGG_04111_Cell_cycle_-_yeast
CDC27	KEGG_04114_Oocyte_meiosis
CDC27	KEGG_04120_Ubiquitin_mediated_proteolysis
CDC27	KEGG_04914_Progesterone-mediated_oocyte_maturation
CALCR	KEGG_04080_Neuroactive_ligand-receptor_interaction
HCCS	KEGG_00860_Porphyrin_and_chlorophyll_metabolism
DVL2	KEGG_04310_Wnt_signaling_pathway
DVL2	KEGG_04330_Notch_signaling_pathway
DVL2	KEGG_04916_Melanogenesis
DVL2	KEGG_05200_Pathways_in_cancer
DVL2	KEGG_05210_Colorectal_cancer
DVL2	KEGG_05217_Basal_cell_carcinoma
SLC25A5	KEGG_04020_Calcium_signaling_pathway
SLC25A5	KEGG_05012_Parkinson's_disease
POLR2J	KEGG_00230_Purine_metabolism
POLR2J	KEGG_00240_Pyrimidine_metabolism
POLR2J	KEGG_03020_RNA_polymerase
ACSM3	KEGG_00650_Butanoate_metabolism
PRKAR2B	KEGG_04210_Apoptosis
PRKAR2B	KEGG_04910_Insulin_signaling_pathway
CREBBP	KEGG_04110_Cell_cycle
CREBBP	KEGG_04310_Wnt_signaling_pathway
CREBBP	KEGG_04330_Notch_signaling_pathway
CREBBP	KEGG_04350_TGF-beta_signaling_pathway
CREBBP	KEGG_04520_Adherens_junction
CREBBP	KEGG_04630_Jak-STAT_signaling_pathway
CREBBP	KEGG_04720_Long-term_potentiation
CREBBP	KEGG_04916_Melanogenesis
CREBBP	KEGG_05200_Pathways_in_cancer
CREBBP	KEGG_05211_Renal_cell_carcinoma
CREBBP	KEGG_05215_Prostate_cancer
PON1	KEGG_00361_gamma-Hexachlorocyclohexane_degradation
PON1	KEGG_00363_Bisphenol_A_degradation
ABCB4	KEGG_02010_ABC_transporters
ITGAL	KEGG_04514_Cell_adhesion_molecules_(CAMs)
